path,video type,file name,encoder,plays,enc_t0,enc_t1,play_t0,play_t1,duration,bitrate,resolution,fps,tbr,tbn,tbc,size0,size_enc
/media/data/hanwu/video_clips1/original_videos/Animation/2160P/,Animation,Animation_2160P-41dc.mkv,libx264,1,2020-09-19 00:53:37.532946,2020-09-19 00:54:02.090786,2020-09-19 00:54:07.095946,2020-09-19 00:54:31.150932,00:00:19.93,1492998,3840x2160,15,15,1000k,1000k,3632867K,196284K
/media/data/hanwu/video_clips1/original_videos/Animation/2160P/,Animation,Animation_2160P-41dc.mkv,hevc,1,2020-09-19 00:54:36.569944,2020-09-19 00:55:57.332084,2020-09-19 00:56:02.337237,2020-09-19 00:56:26.345446,00:00:19.93,1492998,3840x2160,15,15,1000k,1000k,3632867K,188308K
/media/data/hanwu/video_clips1/original_videos/Animation/2160P/,Animation,Animation_2160P-41dc.mkv,vp8,1,2020-09-19 00:56:31.529613,2020-09-19 00:57:23.406465,2020-09-19 00:57:28.409587,2020-09-19 00:57:52.274543,00:00:19.93,1492998,3840x2160,15,15,1000k,1000k,3632867K,13195K
/media/data/hanwu/video_clips1/original_videos/Animation/2160P/,Animation,Animation_2160P-41dc.mkv,vp9,1,2020-09-19 00:57:57.457791,2020-09-19 01:04:00.719383,2020-09-19 01:04:05.724556,2020-09-19 01:04:29.655515,00:00:19.93,1492998,3840x2160,15,15,1000k,1000k,3632867K,330441K
/media/data/hanwu/video_clips1/original_videos/Animation/2160P/,Animation,Animation_2160P-6f3b.mkv,libx264,1,2020-09-19 01:04:35.205605,2020-09-19 01:05:01.990675,2020-09-19 01:05:06.993606,2020-09-19 01:05:31.270911,00:00:19.96,2011900,3032x2304,24,24,1000k,1000k,4901634K,22540K
/media/data/hanwu/video_clips1/original_videos/Animation/2160P/,Animation,Animation_2160P-6f3b.mkv,hevc,1,2020-09-19 01:05:36.466291,2020-09-19 01:06:16.625711,2020-09-19 01:06:21.630862,2020-09-19 01:06:45.673314,00:00:19.96,2011900,3032x2304,24,24,1000k,1000k,4901634K,20406K
/media/data/hanwu/video_clips1/original_videos/Animation/2160P/,Animation,Animation_2160P-6f3b.mkv,vp8,1,2020-09-19 01:06:50.857604,2020-09-19 01:07:29.851052,2020-09-19 01:07:34.853594,2020-09-19 01:07:58.866752,00:00:19.96,2011900,3032x2304,24,24,1000k,1000k,4901634K,4601K
/media/data/hanwu/video_clips1/original_videos/Animation/2160P/,Animation,Animation_2160P-6f3b.mkv,vp9,1,2020-09-19 01:08:04.020595,2020-09-19 01:10:28.626635,2020-09-19 01:10:33.631788,2020-09-19 01:10:57.564327,00:00:19.96,2011900,3032x2304,24,24,1000k,1000k,4901634K,28838K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-073c.mkv,libx264,1,2020-09-19 01:11:02.749662,2020-09-19 01:11:04.905776,2020-09-19 01:11:09.910951,2020-09-19 01:11:34.143518,00:00:19.96,92170,640x480,25,25,1000k,1000k,224577K,2565K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-073c.mkv,hevc,1,2020-09-19 01:11:39.302708,2020-09-19 01:11:46.592903,2020-09-19 01:11:51.598103,2020-09-19 01:12:15.541496,00:00:19.96,92170,640x480,25,25,1000k,1000k,224577K,2647K
