path,video type,file name,encoder,plays,enc_t0,enc_t1,play_t0,play_t1,duration,bitrate,resolution,fps,tbr,tbn,tbc,size0,size_enc
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-0abf.mkv,libx264,1,2020-09-15 14:41:29.866451,2020-09-15 14:41:42.173333,2020-09-15 14:41:47.178480,2020-09-15 14:42:11.661737,00:00:19.99,745763,1920x1080,29.97,29.97,1000k,1000k,1819495K,48448K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-0abf.mkv,hevc,1,2020-09-15 14:42:16.833617,2020-09-15 14:42:51.127885,2020-09-15 14:42:56.129599,2020-09-15 14:43:20.178194,00:00:19.99,745763,1920x1080,29.97,29.97,1000k,1000k,1819495K,50204K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-0abf.mkv,vp8,1,2020-09-15 14:43:25.337615,2020-09-15 14:43:51.281601,2020-09-15 14:43:56.285596,2020-09-15 14:44:20.307909,00:00:19.99,745763,1920x1080,29.97,29.97,1000k,1000k,1819495K,4742K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-0abf.mkv,vp9,1,2020-09-15 14:44:25.439610,2020-09-15 14:48:25.215408,2020-09-15 14:48:30.220564,2020-09-15 14:48:54.295050,00:00:19.99,745763,1920x1080,29.97,29.97,1000k,1000k,1819495K,100281K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-00c3.mkv,libx264,1,2020-09-15 14:48:59.521674,2020-09-15 14:49:18.271956,2020-09-15 14:49:23.277120,2020-09-15 14:49:48.371723,00:00:20.00,1244181,1920x1080,50,50,1000k,1000k,3037553K,24723K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-00c3.mkv,hevc,1,2020-09-15 14:49:53.609819,2020-09-15 14:50:23.438933,2020-09-15 14:50:28.444134,2020-09-15 14:50:52.688953,00:00:20.00,1244181,1920x1080,50,50,1000k,1000k,3037553K,27613K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-00c3.mkv,vp8,1,2020-09-15 14:50:57.853655,2020-09-15 14:51:40.989198,2020-09-15 14:51:45.994343,2020-09-15 14:52:09.924876,00:00:20.00,1244181,1920x1080,50,50,1000k,1000k,3037553K,4194K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-00c3.mkv,vp9,1,2020-09-15 14:52:15.103030,2020-09-15 14:56:27.126784,2020-09-15 14:56:32.131978,2020-09-15 14:56:56.216514,00:00:20.00,1244181,1920x1080,50,50,1000k,1000k,3037553K,70944K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-67dc.mkv,libx264,1,2020-09-15 14:57:01.437670,2020-09-15 14:57:11.479708,2020-09-15 14:57:16.484844,2020-09-15 14:57:40.817469,00:00:19.96,622090,1920x1080,25,25,1000k,1000k,1515740K,35894K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-67dc.mkv,hevc,1,2020-09-15 14:57:46.006540,2020-09-15 14:58:08.362385,2020-09-15 14:58:13.367562,2020-09-15 14:58:37.382997,00:00:19.96,622090,1920x1080,25,25,1000k,1000k,1515740K,39706K
